Sample Number,Sample Site Identification Number,Site Name,Site Location (lat),Site Location (long),Site Province,District Name,Local Municipality,Epi Week,Sample Collection Date,Concentration method,Measles Concentration (copies/uL),Measles Partitions (positive),Measles Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0029,COE-MID-25-02-A,Midstream,-25.9392504,28.2142122,Gauteng,Ekurhuleni MM,,2,2025/01/09,Ceres+Dynabeads,1204.5,2433,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0030,COE-OLI-25-02-A,Olifantsfontein,-25.9433795,28.2142229,Gauteng,Ekurhuleni MM,,2,2025/01/09,Dynabeads,2.581,58,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0032,ENV-SOA-GAP-EKH-VLP-24-0045,ERWAT Vlakplaat Wastewater Treatment Works,-26.353981,28.182128,Gauteng,Ekurhuleni MM,,52,2024/12/24,Ceres+Dynabeads,0.393,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0038,ENV-SOA-NCP-FBD-HMV-25-0001,Homevale Kimberley,-28.69259,24.75414,Northern Cape,Frances Baard DM,Sol Plaatje Local Municipality NC,2,2025/01/08,Ceres+Dynabeads,0.402,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0041,COT-SAP-25-02-B,SAPS Training College,-25.752635,28.1049523,Gauteng,Tshwane MM,,2,2025/01/10,Ceres+Dynabeads,17.32,44,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0042,COT-KAH-25-02-B,Kalafong Hospital,-25.7619006,28.0877711,Gauteng,Tshwane MM,,2,2025/01/10,Ceres+Dynabeads,2212,4049,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0045,COT-LAU-25-02-B,Laudium,-25.7708195,28.1164796,Gauteng,Tshwane MM,,2,2025/01/10,Ceres+Dynabeads,0.407,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0046,COT-GRK-25-02-B,Groenkloof,-25.7883011,28.1965482,Gauteng,Tshwane MM,,2,2025/01/10,Ceres+Dynabeads,0.397,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0048,COE-MOL-25-03-A,Moloreng,-26.0004534,28.2357053,Gauteng,Ekurhuleni MM,,3,2025/01/13,Dynabeads,3.142,8,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0054,COE-OLI-25-02-A,Olifantsfontein,-25.943392,28.2141584,Gauteng,Ekurhuleni MM,,3,2025/01/13,Dynabeads,2.879,7,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0056,COT-DAS-25-03-A,Daspoort Wastewater Treatment Works,-25.7345995,28.1716926,Gauteng,Tshwane MM,,3,2025/01/14,Dynabeads,0.43,3,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0058,COT-KAH-25-03-A,Kalafong Hospital,-25.7565181,28.0879655,Gauteng,Tshwane MM,,3,2025/01/14,Dynabeads,924.7,1928,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0063,ENV-SOA-GAP-JBM-NWT-25-002,Northern Wastewater Treatment Works (GP),-25.9454325,27.9944446,Gauteng,Johannesburg MM,,3,2025/01/14,Dynabeads,0.388,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT-WGS-25-0077,COE-OLI-25-05-B,Olifantsfontein,-26.1196805,28.2370499,Gauteng,Ekurhuleni MM,,5,2025/01/30,Dynabeads,33.16,78,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT-WGS-25-0083,ENV-SOA-LPP-VMB-NCF-25-0003,Nancefield,-22.35805,30.05285,Limpopo,Vhembe DM,Musina Local Municipality LP,5,2025/01/29,Dynabeads,0,0,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT-WGS-25-0133,COE-OLI-25-07-B,Olifantsfontein,-25.9433795,28.2142555,Gauteng,Ekurhuleni MM,,7,2025/02/13,Dynabeads,10.76,26,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2255_C,COJ-KLY-24-43-A,Klipspruit Yard (Before Tunnel),-262531199,27.9132274,Gauteng,Johannesburg MM,,43,2024/23/10,Centricon,2.808,5,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2266_C,COE-TMH-24-43-B,Tembisa Hospital East and West,-25.9863659,28.2344536,Gauteng,Ekurhuleni MM,,43,2024/10/24,Centricon,4.437,11,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
