,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
PV890892.1,Measles virus genotype B3,,genotype: B3,MVs/Zuid-Holland.NLD/17.25/4[B3],Homo sapiens,Netherlands,2025-04-22,22-Apr-2025,B3,Netherlands,
PV890891.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/17.25[B3],Homo sapiens,Netherlands,2025-04-23,23-Apr-2025,B3,Netherlands,
PV890890.1,Measles virus genotype B3,,genotype: B3,MVs/Zuid-Holland.NLD/17.25/6[B3],Homo sapiens,Netherlands,2025-04-29,29-Apr-2025,B3,Netherlands,
PV890889.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/18.25[B3],Homo sapiens,Netherlands,2025-04-29,29-Apr-2025,B3,Netherlands,
PV890888.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/18.25/3[B3],Homo sapiens,Netherlands,2025-05-02,02-May-2025,B3,Netherlands,
PV890887.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/19.25[B3],Homo sapiens,Netherlands,2025-05-05,05-May-2025,B3,Netherlands,
PV890886.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Brabant.NLD/19.25[B3],Homo sapiens,Netherlands,2025-05-12,12-May-2025,B3,Netherlands,
PV870366.1,Measles virus genotype D8,,genotype: D8,MVs/Zuid-Holland.NLD/21.25/2[D8],Homo sapiens,Netherlands,2025-05-24,24-May-2025,D8,Netherlands,
PV870365.1,Measles virus genotype D8,,genotype: D8,MVs/Utrecht.NLD/21.25/2[D8],Homo sapiens,Netherlands,2025-05-26,26-May-2025,D8,Netherlands,
PV870364.1,Measles virus genotype D8,,genotype: D8,MVs/Utrecht.NLD/25.25[D8],Homo sapiens,Netherlands,2025-06-01,Jun-2025,D8,Netherlands,
PV870363.1,Measles virus genotype D8,,genotype: D8,MVs/Zuid-Holland.NLD/24.25[D8],Homo sapiens,Netherlands,2025-06-17,17-Jun-2025,D8,Netherlands,
