,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
MZ483894.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Beijing.CHN/12.18/1[H1],Homo sapiens,China,2018-03-20,20-Mar-2018,H1,China,
MZ483893.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Beijing.CHN/11.18/2[H1],Homo sapiens,China,2018-03-14,14-Mar-2018,H1,China,
MZ483892.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Beijing.CHN/11.18/1[H1],Homo sapiens,China,2018-03-12,12-Mar-2018,H1,China,
MZ483891.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Beijing.CHN/10.18/5[H1],Homo sapiens,China,2018-03-04,04-Mar-2018,H1,China,
MZ483890.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Beijing.CHN/10.18/2[H1],Homo sapiens,China,2018-03-04,04-Mar-2018,H1,China,
MZ483889.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Beijing.CHN/1.18/1[H1],Homo sapiens,China,2018-01-04,04-Jan-2018,H1,China,
MZ483888.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/8.18/3[H1],Homo sapiens,China,2018-02-23,23-Feb-2018,H1,China,
MZ483887.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/8.18/1[H1],Homo sapiens,China,2018-02-22,22-Feb-2018,H1,China,
MZ483886.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/48.16/1[H1],Homo sapiens,China,2016-11-30,30-Nov-2016,H1,China,
MZ483885.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/34.16/1[H1],Homo sapiens,China,2016-08-24,24-Aug-2016,H1,China,
MZ483884.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/18.18/1[H1],Homo sapiens,China,2018-05-01,01-May-2018,H1,China,
MZ483883.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/17.17/4[H1],Homo sapiens,China,2017-04-27,27-Apr-2017,H1,China,
MZ483882.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/16.18/1[H1],Homo sapiens,China,2018-04-20,20-Apr-2018,H1,China,
MZ483881.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/15.18/1[H1],Homo sapiens,China,2018-04-08,08-Apr-2018,H1,China,
MZ483880.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/11.18/1[H1],Homo sapiens,China,2018-03-16,16-Mar-2018,H1,China,
MZ483879.1,Measles virus genotype H1,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",MVi/Anhui.CHN/1.16/1[H1],Homo sapiens,China,2016-01-08,08-Jan-2016,H1,China,
MZ442635.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/25.09/1[H1],Homo sapiens,China,,,H1,China,
MZ442634.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Gansu.CHN/25.16/1[H1],Homo sapiens,China,,,H1,China,
MZ442633.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/9.15[H1],Homo sapiens,China,,,H1,China,
MZ442632.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Anhui.CHN/13.16/1[H1],Homo sapiens,China,,,H1,China,
MZ442631.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/29.11[H1],Homo sapiens,China,,,H1,China,
MZ442630.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Xinjiang.CHN/15.18/1[H1],Homo sapiens,China,,,H1,China,
MZ442629.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Beijing.CHN/12.18/2[H1],Homo sapiens,China,,,H1,China,
MZ442628.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Jiangsu.CHN/14.08/3[H1],Homo sapiens,China,,,H1,China,
MZ442627.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Ningxia.CHN/07.09/1[H1],Homo sapiens,China,,,H1,China,
MZ442626.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/48.09[H1],Homo sapiens,China,,,H1,China,
MZ442625.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/21.07[H1],Homo sapiens,China,,,H1,China,
MZ442624.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/09.13/9[H1],Homo sapiens,China,,,H1,China,
MZ442623.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/09.13/2[H1],Homo sapiens,China,,,H1,China,
MZ442622.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/03.12/1[H1],Homo sapiens,China,,,H1,China,
MZ442621.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/24.12[H1],Homo sapiens,China,,,H1,China,
MZ442620.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/12.12/2[H1],Homo sapiens,China,,,H1,China,
MZ442619.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Yunnan.CHN/12.11/1[H1],Homo sapiens,China,,,H1,China,
MZ442618.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Anhui.CHN/26.13/01[H1],Homo sapiens,China,,,H1,China,
MZ442617.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/3.15/2[H1],Homo sapiens,China,,,H1,China,
MZ442616.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/14.14/14[H1],Homo sapiens,China,,,H1,China,
MZ442615.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/17.12[H1],Homo sapiens,China,,,H1,China,
MZ442614.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/18.11/2[H1],Homo sapiens,China,,,H1,China,
MZ442613.1,Measles virus genotype H1,,location of co-transcriptional RNA editing for V protein; one non-templated G inserted,MVi/Shanghai.CHN/09.06[H1],Homo sapiens,China,,,H1,China,
OR830038.1,Measles virus genotype D8,LEIAL1063,genotype: D8,MVs/Sao Paulo.BRA/13.20[D8],Homo sapiens,"Brazil: Sao Paulo, Santos",2020-03-23,23-Mar-2020,D8,Brazil,"Sao Paulo, Santos"
OR830037.1,Measles virus genotype D8,LEIAL1062,genotype: D8,MVs/Sao Paulo.BRA/05.20[D8],Homo sapiens,"Brazil: Sao Paulo, Santos",2020-01-30,30-Jan-2020,D8,Brazil,"Sao Paulo, Santos"
OR830036.1,Measles virus genotype D8,LEIAL1060,genotype: D8,MVs/Sao Paulo.BRA/06.20[D8],Homo sapiens,"Brazil: Sao Paulo, Santos",2020-02-03,03-Feb-2020,D8,Brazil,"Sao Paulo, Santos"
OR830035.1,Measles virus genotype D8,LEIAL1057,genotype: D8,MVs/Sao Paulo.BRA/10.20/2[D8],Homo sapiens,"Brazil: Sao Paulo, Guarulhos",2020-03-06,06-Mar-2020,D8,Brazil,"Sao Paulo, Guarulhos"
OR830034.1,Measles virus genotype D8,LEIAL1055,genotype: D8,MVs/Sao Paulo.BRA/10.20[D8],Homo sapiens,"Brazil: Sao Paulo, Santos",2020-03-03,03-Mar-2020,D8,Brazil,"Sao Paulo, Santos"
OR830033.1,Measles virus genotype D8,LEIAL1052,genotype: D8,MVs/Sao Paulo.BRA/02.20[D8],Homo sapiens,"Brazil: Sao Paulo, Assis",2020-01-07,07-Jan-2020,D8,Brazil,"Sao Paulo, Assis"
OR830032.1,Measles virus genotype D8,LEIAL1051,genotype: D8,MVs/Sao Paulo.BRA/07.20/2[D8],Homo sapiens,"Brazil: Sao Paulo, Guarulhos",2020-02-14,14-Feb-2020,D8,Brazil,"Sao Paulo, Guarulhos"
OR830031.1,Measles virus genotype D8,LEIAL1050,genotype: D8,MVs/Sao Paulo.BRA/07.20[D8],Homo sapiens,"Brazil: Sao Paulo, Guarulhos",2020-02-15,15-Feb-2020,D8,Brazil,"Sao Paulo, Guarulhos"
ON024067.1,Measles virus genotype B3,,RNA polymerase L,MVs/Riga.LVA/2020[B3]SSPE,Homo sapiens,Latvia,2020-01-01,2020,B3,Latvia,
LC789941.1,Measles virus genotype D8,,genotype: D8,MVs/Tokyo.JPN/24.23/23124/[D8],Homo sapiens,Japan,,2023-06,D8,Japan,
LC789940.1,Measles virus genotype D8,,genotype: D8,MVs/Tokyo.JPN/19.23/2347/[D8],Homo sapiens,Japan,,2023-05,D8,Japan,
OR854813.1,Measles virus genotype B3,Mea4/Moscow.RUS/2020[B3],genotype: B3,MVs/Moscow.RUS/05.20[B3],Homo sapiens,Russia,2020-02-01,01-Feb-2020,B3,Russia,
OR854812.1,Measles virus genotype D8,Mea2/Novosibirsk.RUS/2023[D8],genotype: D8,MMVs/Novosibirsk.RUS/07.23[D8],Homo sapiens,Russia,2023-02-16,16-Feb-2023,D8,Russia,
OR854811.1,Measles virus genotype D8,Mea1/Moscow.RUS/2023[D8],genotype: D8,MVs/Moscow.RUS/19.23[D8],Homo sapiens,Russia,2023-05-12,12-May-2023,D8,Russia,
OQ096316.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/4.19[B3],Homo sapiens,Canada,2019-02-06,2019-02-06,B3,Canada,
OR453544.1,Measles morbillivirus,LEIAL-239,genotype: D8,MVs/Sao Paulo.BRA/239.19[D8],Homo sapiens,"Brazil: Sao Paulo, Campo Limpo Paulista",2019-08-16,16-Aug-2019,D8,Brazil,"Sao Paulo, Campo Limpo Paulista"
OR453543.1,Measles morbillivirus,LEIAL-238,genotype: D8,MVs/Sao Paulo.BRA/238.19[D8],Homo sapiens,"Brazil: Sao Paulo, Sao Paulo",2019-06-25,25-Jun-2019,D8,Brazil,"Sao Paulo, Sao Paulo"
OR453542.1,Measles morbillivirus,LEIAL-237,genotype: D8,MVs/Sao Paulo.BRA/237.19[D8],Homo sapiens,"Brazil: Sao Paulo, Sao Paulo",2019-06-24,24-Jun-2019,D8,Brazil,"Sao Paulo, Sao Paulo"
OP314518.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/8/2[B3],Homo sapiens,USA,2021-09-29,29-Sep-2021,B3,USA,
OP314517.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/15[B3],Homo sapiens,USA,2021-09-30,30-Sep-2021,B3,USA,
OP314516.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/14[B3],Homo sapiens,USA,2021-10-01,01-Oct-2021,B3,USA,
OP314515.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/13[B3],Homo sapiens,USA,2021-10-02,02-Oct-2021,B3,USA,
OP314514.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/12[B3],Homo sapiens,USA,2021-09-30,30-Sep-2021,B3,USA,
OP314513.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/11[B3],Homo sapiens,USA,2021-09-30,30-Sep-2021,B3,USA,
OP314512.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/10[B3],Homo sapiens,USA,2021-09-30,30-Sep-2021,B3,USA,
OP314511.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/8/1[B3],Homo sapiens,USA,2021-09-29,29-Sep-2021,B3,USA,
OP314510.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/7[B3],Homo sapiens,USA,2021-09-27,27-Sep-2021,B3,USA,
OP314509.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/6[B3],Homo sapiens,USA,2021-09-27,27-Sep-2021,B3,USA,
OP314508.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/5[B3],Homo sapiens,USA,2021-09-27,27-Sep-2021,B3,USA,
OP314507.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/4[B3],Homo sapiens,USA,2021-09-27,27-Sep-2021,B3,USA,
OP314506.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/3[B3],Homo sapiens,USA,2021-09-27,27-Sep-2021,B3,USA,
OP314505.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/2[B3],Homo sapiens,USA,2021-09-27,27-Sep-2021,B3,USA,
OP314504.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/39.21/[B3],Homo sapiens,USA,2021-09-26,26-Sep-2021,B3,USA,
OP314503.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/38.21/[B3],Homo sapiens,USA,2021-09-25,25-Sep-2021,B3,USA,
OP314502.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/37.21/5[B3],Homo sapiens,USA,2021-09-17,17-Sep-2021,B3,USA,
OP314501.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/37.21/4[B3],Homo sapiens,USA,2021-09-15,15-Sep-2021,B3,USA,
OP314500.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/37.21/3[B3],Homo sapiens,USA,2021-09-15,15-Sep-2021,B3,USA,
OP314499.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/37.21/2[B3],Homo sapiens,USA,2021-09-15,15-Sep-2021,B3,USA,
OP314498.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/37.21/[B3],Homo sapiens,USA,2021-09-16,16-Sep-2021,B3,USA,
OP314497.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Wisconsin.USA/35.21/[B3],Homo sapiens,USA,2021-09-04,04-Sep-2021,B3,USA,
OP314496.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/41.21/[B3],Homo sapiens,USA,2021-10-18,18-Oct-2021,B3,USA,
OP314495.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/40.21/3[B3],Homo sapiens,USA,2021-10-08,08-Oct-2021,B3,USA,
OP314494.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/40.21/2[B3],Homo sapiens,USA,2021-10-04,04-Oct-2021,B3,USA,
OP314493.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/40.21/[B3],Homo sapiens,USA,2021-10-16,16-Oct-2021,B3,USA,
OP314492.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/39.21/4[B3],Homo sapiens,USA,2021-10-04,04-Oct-2021,B3,USA,
OP314491.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/39.21/3[B3],Homo sapiens,USA,2021-10-05,05-Oct-2021,B3,USA,
OP314490.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/39.21/2[B3],Homo sapiens,USA,2021-10-12,12-Oct-2021,B3,USA,
OP314489.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/39.21/[B3],Homo sapiens,USA,2021-10-04,04-Oct-2021,B3,USA,
OP314488.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/38.21/[B3],Homo sapiens,USA,2021-10-01,01-Oct-2021,B3,USA,
OP314487.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/37.21/2[B3],Homo sapiens,USA,2021-09-18,18-Sep-2021,B3,USA,
OP314486.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/37.21/[B3],Homo sapiens,USA,2021-09-17,17-Sep-2021,B3,USA,
OP314485.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/36.21/4[B3],Homo sapiens,USA,2021-09-13,13-Sep-2021,B3,USA,
OP314484.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/36.21/3[B3],Homo sapiens,USA,2021-09-10,10-Sep-2021,B3,USA,
OP314483.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/36.21/2[B3],Homo sapiens,USA,2021-09-08,08-Sep-2021,B3,USA,
OP314482.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/36.21/[B3],Homo sapiens,USA,2021-09-08,08-Sep-2021,B3,USA,
OP314481.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/35.21/6[B3],Homo sapiens,USA,2021-09-17,17-Sep-2021,B3,USA,
OP314480.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/35.21/5[B3],Homo sapiens,USA,2021-09-17,17-Sep-2021,B3,USA,
OP314479.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/35.21/4[B3],Homo sapiens,USA,2021-09-17,17-Sep-2021,B3,USA,
OP314478.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/Virginia.USA/35.21/[B3],Homo sapiens,USA,2021-09-08,08-Sep-2021,B3,USA,
OP314477.1,Measles virus genotype B3,,translated from mRNA co-transcriptionally modified by the addition of one non-templated G residue,MVs/NewMexico.USA/38.21/[B3],Homo sapiens,USA,2021-09-19,19-Sep-2021,B3,USA,
OR290102.1,Measles virus genotype D8,MEV-006_55,genotype: D8,MVs/Moscow.RUS/21.23/3[D8],Homo sapiens,Russia,2023-05-25,25-May-2023,D8,Russia,
OR290101.1,Measles virus genotype D8,MEV-005_54,genotype: D8,MVs/Moscow.RUS/20.23/3[D8],Homo sapiens,Russia,2023-05-25,25-May-2023,D8,Russia,
OR290100.1,Measles virus genotype D8,MEV-004_53,genotype: D8,MVs/Moscow.RUS/21.23/2[D8],Homo sapiens,Russia,2023-05-25,25-May-2023,D8,Russia,
OR290099.1,Measles virus genotype D8,MEV-003_51,genotype: D8,MVs/Moscow.RUS/21.23/1[D8],Homo sapiens,Russia,2023-05-25,25-May-2023,D8,Russia,
OR290098.1,Measles virus genotype B3,MEV-002_49,genotype: B3,MVs/Moscow.RUS/20.23/2[B3],Homo sapiens,Russia,2023-05-25,25-May-2023,B3,Russia,
OR290097.1,Measles virus genotype D8,MEV-001_38,genotype: D8,MVs/Moscow.RUS/20.23/1[D8],Homo sapiens,Russia,2023-05-22,22-May-2023,D8,Russia,
LC769207.1,Measles virus genotype D8,,genotype: D8,MVs/Tokyo.JPN/19.23/2339/[D8],Homo sapiens,Japan: Tokyo,,2023-05,D8,Japan,Tokyo
OQ078001.1,Measles morbillivirus,Ug2012-CVR6,metagenomic; genotype: B3,,Homo sapiens,Uganda,2012-01-01,2012,B3,Uganda,
OQ078000.1,Measles morbillivirus,Ug2012-CVR5,metagenomic; genotype: B3,,Homo sapiens,Uganda,2012-01-01,2012,B3,Uganda,
OP951115.1,Measles virus genotype D8,1103279999,large polymerase; L protein,MVs/Cayenne.FRA/43.21[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951114.1,Measles virus genotype D8,8011137439,large polymerase; L protein,MVs/Bordeaux.FRA/4.18/3[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951113.1,Measles virus genotype D8,8011132788,large polymerase; L protein,MVs/Langoiran.FRA/5.18[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951112.1,Measles virus genotype D8,8011132780,large polymerase; L protein,MVs/Blaye.FRA/4.18[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951111.1,Measles virus genotype D8,8011123699,large polymerase; L protein,MVs/Libourne.FRA/04.18[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951110.1,Measles virus genotype D8,8011116947,large polymerase; L protein,MVs/Bordeaux.FRA/03.18[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951109.1,Measles virus genotype D8,8011106528,large polymerase; L protein,MVs/Bordeaux.FRA/02.18[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951108.1,Measles virus genotype D8,8011099786,large polymerase; L protein,MVs/Bordeaux.FRA/01.18/3[D8],Homo sapiens,France,2018-01-01,Jan-2018,D8,France,
OP951107.1,Measles virus genotype D8,7121096171,large polymerase; L protein,MVs/Bordeaux.FRA/52.17/2[D8],Homo sapiens,France,2017-12-01,Dec-2017,D8,France,
OP951106.1,Measles virus genotype D8,7121087934,large polymerase; L protein,MVs/Bordeaux.FRA/52.17[D8],Homo sapiens,France,2017-12-01,Dec-2017,D8,France,
OP951105.1,Measles virus genotype D8,7121079560,large polymerase; L protein,MVs/Bordeaux.FRA/51.17[D8],Homo sapiens,France,2017-12-01,Dec-2017,D8,France,
OP951104.1,Measles virus genotype D8,7121055420,large polymerase; L protein,MVs/Bordeaux.FRA/48.17[D8],Homo sapiens,France,2017-12-01,Dec-2017,D8,France,
OP951103.1,Measles virus genotype B3,9051801214,large polymerase; L protein,MVs/Marseille.FRA/20.19/2[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951102.1,Measles virus genotype B3,9051801260,large polymerase; L protein,MVs/Marseille.FRA/19.19/7[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951101.1,Measles virus genotype B3,9051801311,large polymerase; L protein,MVs/Marseille.FRA/19.19/6[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951100.1,Measles virus genotype B3,9051801321,large polymerase; L protein,MVs/Marseille.FRA/19.19/5[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951099.1,Measles virus genotype B3,9051801324,large polymerase; L protein,MVs/Marseille.FRA/19.19/4[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951098.1,Measles virus genotype B3,9051801329,large polymerase; L protein,MVs/Marseille.FRA/19.19/3[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951097.1,Measles virus genotype B3,9051801336,large polymerase; L protein,MVs/Marseille.FRA/19.19/2[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
OP951096.1,Measles virus genotype B3,9041801359,large polymerase; L protein,MVs/Marseille/18.19[B3],Homo sapiens,France,2019-04-01,Apr-2019,B3,France,
OK424848.1,Measles virus genotype D4,VE11-0225,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVi/British_Columbia.CAN/05.11/1[D4],Homo sapiens,Canada,2011-02-10,2011-02-10,D4,Canada,
OK424847.1,Measles virus genotype D4,VE11-0226,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVi/British_Columbia.CAN/07.11/1[D4],Homo sapiens,Canada,2011-02-18,2011-02-18,D4,Canada,
OK424846.1,Measles virus genotype D4,VE11-0253,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVi/British_Columbia.CAN/08.11/2[D4],Homo sapiens,Canada,2011-02-24,2011-02-24,D4,Canada,
OK424845.1,Measles virus genotype D4,VE11-0545,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVs/Ontario.CAN/18.11/1[D4],Homo sapiens,Canada,2011-05-08,2011-05-08,D4,Canada,
OK424844.1,Measles virus genotype D4,VE11-0684,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVs/Ontario.CAN/21.11/1[D4],Homo sapiens,Canada,2011-05-27,2011-05-27,D4,Canada,
OK424843.1,Measles virus genotype D4,VE11-0083,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVs/Quebec.CAN/02.11/1[D4],Homo sapiens,Canada,2011-01-19,2011-01-19,D4,Canada,
OK424842.1,Measles virus genotype D4,VE11-0222,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVi/Quebec.CAN/05.11/1[D4],Homo sapiens,Canada,2011-02-05,2011-02-05,D4,Canada,
OK424841.1,Measles virus genotype D4,VE11-0386,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVi/Quebec.CAN/05.11/2[D4],Homo sapiens,Canada,2011-02-04,2011-02-04,D4,Canada,
OK424840.1,Measles virus genotype D4,VE11-0389,M-F NCR; M-F intergenic spacer with M stop codon and F start codon,MVi/Quebec.CAN/08.11/1[D4],Homo sapiens,Canada,2011-02-21,2011-02-21,D4,Canada,
