	summarized	lineages	abundances	resid	coverage
GCA_031128135.1_0.4_GCA_031128185.1_0.6_variants.tsv	[('Other', 0.999999999816727)]	MEASLESgenome-H1 MEASLESgenome-D5	0.54054100 0.45945900	148.58111311431597	91.75160437901094
GCA_031128135.1_0.9_GCA_031128185.1_0.1_variants.tsv	[('Other', 1.0000000000010856)]	MEASLESgenome-D5 MEASLESgenome-H1	0.94326240 0.05673760	41.709086767063496	91.90889643890776
GCA_031112925.1_1_GCA_031128115.1_0_variants.tsv	[('Other', 0.9999999999976028)]	MEASLESgenome-A	1.00000000	10.313698029206938	92.50660626651566
GCA_031112925.1_0.6_GCA_031129565.1_0.4_variants.tsv	[('Other', 1.0000000001439948)]	MEASLESgenome-A MEASLESgenome-D9 MEASLESgenome-D6	0.61413000 0.38297901 0.00289099	82.1371283125499	97.23165974581603
GCA_031129565.1_0.1_GCA_031128185.1_0.9_variants.tsv	[('Other', 1.0000000000754548)]	MEASLESgenome-H1 MEASLESgenome-D9	0.90909100 0.09090900	122.13627983342197	81.99320498301246
GCA_031128155.1_0_GCA_031128145.1_1_variants.tsv	[('Other', 0.9999999999651787)]	MEASLESgenome-D8	1.00000000	31.73787897680699	84.9502957090726
GCA_031112925.1_0.6_GCA_031128135.1_0.4_variants.tsv	[('Other', 0.9999999999900437)]	MEASLESgenome-A MEASLESgenome-D5 MEASLESgenome-D6	0.60000000 0.39735100 0.00264900	33.234658162510755	94.06065181829621
GCA_031112925.1_0.4_GCA_031128145.1_0.6_variants.tsv	[('Other', 0.999999999996154)]	MEASLESgenome-D8 MEASLESgenome-A	0.60000000 0.40000000	49.222198949325346	94.35006920850635
GCA_031112925.1_0.9_GCA_031128145.1_0.1_variants.tsv	[('Other', 0.9999999998887212)]	MEASLESgenome-A MEASLESgenome-D8 MEASLESgenome-D6	0.90909100 0.08219180 0.00871720	20.736433136439153	92.69535673839185
GCA_031128115.1_0_GCA_031128185.1_1_variants.tsv	[('Other', 0.9999999999947301)]	MEASLESgenome-H1	1.00000000	38.09122385947258	67.03158424562729
GCA_031128155.1_0.1_GCA_031129565.1_0.9_variants.tsv	[('Other', 0.9999999995147841)]	MEASLESgenome-D9 MEASLESgenome-B3	0.93103400 0.06896600	65.62562021525324	87.03284258210645
GCA_031128115.1_1_GCA_031129565.1_0_variants.tsv	[('Other', 0.9999999999899933)]	MEASLESgenome-D4	1.00000000	37.31609381749831	91.82710456776142
GCA_031128145.1_0.7_GCA_031128185.1_0.3_variants.tsv	[('Other', 0.9999999999789603)]	MEASLESgenome-D8 MEASLESgenome-H1	0.75000000 0.25000000	106.26050645433257	87.10205108846105
GCA_031128155.1_0.6_GCA_031128185.1_0.4_variants.tsv	[('Other', 0.9999999968085207)]	MEASLESgenome-B3 MEASLESgenome-H1	0.62365602 0.37634397	134.85827353446007	84.9062539323015
GCA_031128135.1_0.1_GCA_031128145.1_0.9_variants.tsv	[('Other', 1.0000000000225058)]	MEASLESgenome-D8 MEASLESgenome-D5	0.91018000 0.08982000	49.99866295840047	90.10947527368819
GCA_031128115.1_0.3_GCA_031128145.1_0.7_variants.tsv	[('Other', 0.999999999821317)]	MEASLESgenome-D8 MEASLESgenome-D4	0.69230800 0.30769200	69.60324085829791	97.16245123946143
GCA_031112925.1_0.3_GCA_031128155.1_0.7_variants.tsv	[('Other', 0.9999999997207072)]	MEASLESgenome-B3 MEASLESgenome-A	0.66666700 0.33333300	71.36464503879213	93.6013590033975
GCA_031128145.1_0_GCA_031128185.1_1_variants.tsv	[('Other', 0.9999999999947301)]	MEASLESgenome-H1	1.00000000	38.09122385947258	67.03158424562729
GCA_031112925.1_0.1_GCA_031128185.1_0.9_variants.tsv	[('Other', 0.9999999997577493)]	MEASLESgenome-H1 MEASLESgenome-A	0.89189200 0.10810800	102.71186243652392	83.13829117906128
GCA_031128135.1_1_GCA_031128145.1_0_variants.tsv	[('Other', 0.9999999999993087)]	MEASLESgenome-D5	1.00000000	2.51921306799411	90.24789228639739
GCA_031112925.1_0.4_GCA_031129565.1_0.6_variants.tsv	[('Other', 0.9999999993856813)]	MEASLESgenome-D9 MEASLESgenome-A MEASLESgenome-D6	0.58682600 0.41059600 0.00257800	92.07875787208349	97.18132628664905
GCA_031112925.1_0.9_GCA_031129565.1_0.1_variants.tsv	[('Other', 1.0000000001692555)]	MEASLESgenome-A MEASLESgenome-D9 MEASLESgenome-D6	0.92000000 0.06896600 0.01103400	37.7243375381166	95.74053101799421
GCA_031128135.1_0.6_GCA_031128185.1_0.4_variants.tsv	[('Other', 0.9999999981587846)]	MEASLESgenome-D5 MEASLESgenome-H1	0.65384600 0.34615400	114.16977799015837	91.95293821567887
GCA_031128155.1_0.1_GCA_031128145.1_0.9_variants.tsv	[('Other', 0.9999999996833386)]	MEASLESgenome-D8 MEASLESgenome-B3	0.93548390 0.06451610	61.45359876280038	88.6560966402416
